x,y,z,id,group1,group2,group3,group4,group5,group6
0,1,0,0,1.4158308386456e+14,3.910224324681e+14,4.1798028871266e+14,3.3611510410593e+14,2.6191963183342e+14,71900573071313
0.25,1,0,0.25,1.4800515628427e+14,4.1757997189459e+14,4.6376467895508e+14,3.652053613883e+14,2.8532977049358e+14,78890856265358
0.5,1,0,0.5,1.5442722870399e+14,4.4413751132108e+14,5.0954906919751e+14,3.9429561867068e+14,3.0873990915374e+14,85881139459402
0.75,1,0,0.75,1.6084930112371e+14,4.7069505074758e+14,5.5533345943993e+14,4.2338587595306e+14,3.321500478139e+14,92871422653447
1,1,0,1,1.6727137354343e+14,4.9725259017407e+14,6.0111784968236e+14,4.5247613323543e+14,3.5556018647406e+14,99861705847491
1.25,1,0,1.25,1.7388306062118e+14,5.2381373282348e+14,6.4617224932063e+14,4.8167671007637e+14,3.7893552767319e+14,1.0681893200267e+14
1.5,1,0,1.5,1.8049474769894e+14,5.5037487547289e+14,6.912266489589e+14,5.1087728691731e+14,4.0231086887232e+14,1.1377615815784e+14
1.75,1,0,1.75,1.871064347767e+14,5.7693601812231e+14,7.3628104859718e+14,5.4007786375825e+14,4.2568621007146e+14,1.2073338431302e+14
2,1,0,2,1.9371812185445e+14,6.0349716077172e+14,7.8133544823545e+14,5.6927844059919e+14,4.4906155127059e+14,1.2769061046819e+14
